Ano_0,Ano_1,Ano_2
1539.2427,1539.2427,1539.2427
1578.8434,1578.8434,1578.8434
1674.2147,1674.2147,1674.2147
1701.3636,1701.3636,1701.3636
1702.5728,1702.5728,1702.5728
1681.6158,1681.6158,1681.6158
1655.1995,1655.1995,1655.1995
1726.0802,1726.0802,1726.0802
1683.9135,1683.9135,1683.9135
1636.72,1636.72,1636.72
1560.7123,1560.7123,1560.7123
1547.4415,1547.4415,1547.4415
1746.1613,1746.1613,1746.1613
1732.2865,1732.2865,1732.2865
1625.0542,1625.0542,1625.0542
1518.2847,1518.2847,1518.2847
1416.844,1416.844,1416.844
1287.7205,1287.7205,1287.7205
1232.0258,1232.0258,1232.0258
1206.4685,1206.4685,1206.4685
1215.212,1215.212,1215.212
1240.9987,1240.9987,1240.9987
1256.1519,1256.1519,1256.1519
1379.3087,1379.3087,1379.3087
1480.4159,1480.4159,1480.4159
1539.7797,1539.7797,1539.7797
1598.615,1598.615,1598.615
1623.8789,1623.8789,1623.8789
1666.4938,1666.4938,1666.4938
1691.5194,1691.5194,1691.5194
1762.4431,1762.4431,1762.4431
1721.1044,1721.1044,1721.1044
1672.6165,1672.6165,1672.6165
1641.9945,1641.9945,1641.9945
1571.2334,1571.2334,1571.2334
1567.4132,1567.4132,1567.4132
1778.7913,1778.7913,1778.7913
1798.9816,1798.9816,1798.9816
1743.1868,1743.1868,1743.1868
1606.7908,1606.7908,1606.7908
1490.0322,1490.0322,1490.0322
1388.3319,1388.3319,1388.3319
1315.4508,1315.4508,1315.4508
1285.6823,1285.6823,1285.6823
1287.2366,1287.2366,1287.2366
1305.3816,1305.3816,1305.3816
1317.8519,1317.8519,1317.8519
1421.7975,1421.7975,1421.7975
1541.6864,1541.6864,1541.6864
1584.9474,1584.9474,1584.9474
1685.3927,1685.3927,1685.3927
1739.7029,1739.7029,1739.7029
1753.9486,1753.9486,1753.9486
1731.326,1731.326,1731.326
1805.7638,1805.7638,1805.7638
1775.1268,1775.1268,1775.1268
